S No,Cargo Code,Cargo Description,Cargo Category Name,Cargo Short Name,Cargo Sub Category Name,Cargo Type Name,HS Code,Principal Commodity Name,SoR No. Code,Status,DSCHRG_RATE_PR_DAY,LD_RATE_PR_DAY
1,86072100,PARTS OF RAILWAY -AIR BRAKES,BREAK BULK,MACH,GENERAL CARGO,Packaged,86072100,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
2,C06029090,COCONUT &  GRASS-,BREAK BULK,GENL,GENERAL CARGO,Packaged,06029090,Other Misc. Cargo,3.1.1.37.B,ACTIVE,900,900
3,C07133110,BLACK MATPE,BREAK BULK,PULSES,GENERAL CARGO,Packaged,07133110,Other Misc. Cargo,3.1.1.16,ACTIVE,1200,1200
4,C07136000,TUR  TOOR WHOLE,BREAK BULK,PULSES,GENERAL CARGO,Packaged,07136000,Other Misc. Cargo,3.1.1.16,ACTIVE,1200,1200
5,C10063090,INDIAN WHITE RICE,DRY BULK,RICEJB,FOOD GRAINS IN BREAK BULK,Packaged,10063090,Other Misc. Cargo,3.1.1.16,ACTIVE,10000,10000
6,C15111000,CRUDE PALM OIL,LIQUID BULK,CPOIL,EDIBLE OIL,Liquid Bulk,15111000,Other Liquids,3.1.1.11,ACTIVE,2700,2700
7,C15131900,COCONUT OIL,LIQUID BULK,EDOTHER,EDIBLE OIL,Liquid Bulk,15131900,Other Misc. Cargo,3.1.1.11,ACTIVE,2700,2700
8,C15180039,USED COOKING OIL NOT FOR HUMAN CONSUM,LIQUID BULK,UCKOIL,OTHER LIQUED CARGO,Liquid Bulk,15180039,Other Liquids,3.1.1.11,ACTIVE,2700,2700
9,C15180040,VEG OIL & FATS,LIQUID BULK,VEGOIL,EDIBLE OIL,Liquid Bulk,15180040,Other Liquids,3.1.1.11,ACTIVE,2700,2700
10,C25010010,SALT- COMMON,DRY BULK,SALT,OTHER DRY BULK CARGO,Dry Bulk,25010010,Other Misc. Cargo,3.1.1.32,ACTIVE,6700,900
11,C25010090,SALT - OTHER,DRY BULK,SALT,OTHER DRY BULK CARGO,Dry Bulk,25010090,Other Misc. Cargo,3.1.1.32,ACTIVE,6700,900
12,C25030010,SULPHUR,DRY BULK,SULPHUR,CHEMICALS IN DRY BULK,Dry Bulk,25030010,Fertilizers Raw,3.1.1.20,ACTIVE,6000,6000
13,C25051011,SILICA SAND - PROCESSED WHITE,DRY BULK,SICA,ORES AND MINARALS,Dry Bulk,25051011,Other Misc. Cargo,3.1.1.18,ACTIVE,10000,10000
14,C25051012,SILICA SAND (BROWN),BREAK BULK,SAND,ORES AND MINARALS,Dry Bulk,25051012,Other Misc. Cargo,3.1.1.18,ACTIVE,10000,10000
15,C25051019,SILICA SAND -  OTHER,DRY BULK,SICA,ORES AND MINARALS,Dry Bulk,25051019,Other Misc. Cargo,3.1.1.18,ACTIVE,10000,10000
16,C25070029,CALCINED KAOLIN,BREAK BULK,OTHBLK,GENERAL CARGO,Packaged,25070029,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
17,C25081010,BENTONITE CLAY,DRY BULK,BENT,ORES AND MINARALS,Dry Bulk,25081010,Other Misc. Cargo,3.1.1.28,ACTIVE,12200,12200
18,C25081090,BENTONITE,BREAK BULK,BENTONITE,ORES AND MINARALS,,25081090,Other Misc. Cargo,3.1.1.28,ACTIVE,12200,12200
19,C25086000,SINTERED MULLITE,BREAK BULK,MULLIATE,ORES AND MINARALS,Packaged,25086000,Other Misc. Cargo,3.1.1.37.B,ACTIVE,10000,10000
20,C25111020,BARYTES POWDER IN JUMBO BAGS,DRY BULK,BARTJB,ORES AND MINARALS,Packaged,25111020,Other Misc. Cargo,3.1.1.28,ACTIVE,1200,1200
21,C25161100,COBBLE STONES,DRY BULK,CSTONE,ORES AND MINARALS,Dry Bulk,25161100,Other Misc. Cargo,3.1.1.28,ACTIVE,6100,6100
22,C25161100G,GRANITE BLOCK,BREAK BULK,GBLOCK,STONES IN BULK,Packaged,25161100G,Other Misc. Cargo,3.1.1.21,ACTIVE,3000,3000
23,C25171090,12MM STONE DUST,DRY BULK,STONEOTH,CONSTRUCTION MATERIALS,Dry Bulk,25171090,Other Misc. Cargo,3.1.1.18,ACTIVE,10000,10000
24,C25181000,DOLOMITE,DRY BULK,DOLM,ORES AND MINARALS,Dry Bulk,25181000,Other Misc. Cargo,3.1.1.28,ACTIVE,12200,12200
25,C25199010,FUSED MAGNESIA,BREAK BULK,MAGNESIA,ORES AND MINARALS,Packaged,25199010,Other Misc. Cargo,3.1.1.37.B,ACTIVE,10000,10000
26,C25199020,DEAD BURNT MAGNESIA,BREAK BULK,MAGN,ORES AND MINARALS,Packaged,25199020,Other Misc. Cargo,3.1.1.37.B,ACTIVE,10000,10000
27,C25199030,Magnesium calcined (other than dead-burnt),BREAK BULK,MAGNESIA,GENERAL CARGO,Packaged,25199030,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
28,C25199040,CAUSTIC CALCINED MAGNESITE,BREAK BULK,MAGNESIA,OTHER DRY BULK CARGO,Packaged,25199040,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
29,C25199090,CAUSTIC CALCINED MAGNESIA,BREAK BULK,MAGNESIA,CHEMICALS,Packaged,25199090,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
30,C25201010,NATURAL GYPSUM,DRY BULK,GYPSUM,OTHER DRY BULK CARGO,Dry Bulk,25201010,Other Misc. Cargo,3.1.1.28,ACTIVE,10000,10000
31,C25210090,LIMESTONE POWDER,BREAK BULK,LIMEJB,ORES AND MINARALS,Packaged,25210090,Other Misc. Cargo,3.1.1.28,ACTIVE,12200,12200
32,C25232910,CEMENT,BREAK BULK,CEMENT,CEMENET IN DRY BULK,Packaged,25232910,Other Misc. Cargo,3.1.1.18,ACTIVE,0,1000
33,C25291020,FELDSPAR - POWDER,DRY BULK,FELS,ORES AND MINERALS,Dry Bulk,25291020,Other Misc. Cargo,3.1.1.28,ACTIVE,5500,5500
34,C25292200,ACID GRADE FLUORSPAR POWDER,BREAK BULK,FLOU,ORES AND MINARALS,Dry Bulk,25292200,Other Misc. Cargo,3.1.1.28,ACTIVE,12200,12200
35,C26011210,IRON ORE PELLETS,DRY BULK,IOP,IRON ORE,Dry Bulk,26011210,Iron Ore Including Pellets,3.1.1.27,ACTIVE,12400,12400
36,C26060020,CALCINED BAUXITE 76,DRY BULK,BAUX,ORES AND MINARALS,Dry Bulk,26060020,Other Misc. Cargo,3.1.1.28,ACTIVE,12200,12200
37,C26060090,LATERITE,DRY BULK,LATERITE,ORES AND MINARALS,Dry Bulk,26060090,Other Misc. Cargo,,ACTIVE,12500,12500
38,C27040010,COKE AND SEMI-COKE OF COAL,BREAK BULK,CCOAL,COAL AND COAK,Packaged,27040010,Other Misc. Cargo,3.1.1.37.B,ACTIVE,10000,10000
39,C27040020,SEMI COKE,BREAK BULK,CCOAL,COAL AND COAK,Packaged,27040020,Coking Coal & Others,3.1.1.37.B,ACTIVE,10000,10000
40,C27040090,LOW ASH METALLURGICAL COKE -JUMBO BAGS,BREAK BULK,MCOKE JB,COAL AND COAK,Packaged,27040090,Other Misc. Cargo,3.1.1.37.B,ACTIVE,10000,10000
41,C27101972,ENGINE OIL 13656,LIQUID BULK,OLC,LUBICANT OIL,Liquid Bulk,27101972,Other Liquids,3.1.1.7,ACTIVE,2000,2100
42,C27101975,INDUSTRIAL GEAR OIL,LIQUID BULK,OLC,LUBICANT OIL,Liquid Bulk,27101975,Other Liquids,3.1.1.7,ACTIVE,2000,2100
43,C27101979,LUBE OIL,BREAK BULK,LOIL,LUBICANT OIL,Liquid Bulk,27101979,Other Misc. Cargo,3.1.1.7,ACTIVE,2000,2000
44,C27101981,Lube Oil,LIQUID BULK,LOIL,LUBICANT OIL,Liquid Bulk,27101981,Other Misc. Cargo,3.1.1.7,ACTIVE,2000,2000
45,C27101990,SLUDGE /WASTE/SLOP OIL,LIQUID BULK,SLOP,PETROLEUM PRODUCTS,Liquid Bulk,27101990,Petroleum Products,3.1.1.13,ACTIVE,2000,2000
46,C27132000,PETROLEUM BITUMEN,LIQUID BULK,BITU,PETROLEUM PRODUCTS,Liquid Bulk,27132000,Other Liquids,3.1.1.7,ACTIVE,2000,2000
47,C28112200,MICROSILICA,DRY BULK,SICA,ORES AND MINARALS,Dry Bulk,28112200,Other Misc. Cargo,3.1.1.28,ACTIVE,12200,12200
48,C28352610,MONODICALCIUM PHOSPHATE (FEED GRADE),BREAK BULK,POSPINAT,OTHER DRY BULK CARGO,Packaged,28352610,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
49,C28362010,Disodium carbonate,BREAK BULK,SODA,ORES AND MINARALS,Packaged,28362010,Other Misc. Cargo,3.1.1.37.B,ACTIVE,10000,10000
50,C28429090,Inorganic acid salt,BREAK BULK,,GENERAL CARGO,Packaged,28429090,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
51,C29151210,SODIUM FORMATEM 98% MIN,BREAK BULK,FORMACID,FERTILIZER IN DRY BULK - FINISHED,Packaged,29151210,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
52,C29336100,MELAMINE,BREAK BULK,MELAMINE,CHEMICALS,Packaged,29336100,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
53,C31021090,PRILLED UREA,DRY BULK,UREA,FERTILIZER IN DRY BULK - FINISHED,Dry Bulk,31021090,Other Misc. Cargo,3.1.1.20,ACTIVE,6000,6000
54,C31026000,BORONATED CALCIUM NITRATE,DRY BULK,CALCNITR,FERTILIZER IN DRY BULK - FINISHED,Dry Bulk,31026000,Fertilizers Finished,3.1.1.20,ACTIVE,6000,6000
55,C31043000,Potassium Sulphate Powder - SOP (00-00-50),DRY BULK,POTA,FERTILIZER IN DRY BULK - FINISHED,Dry Bulk,31043000,Other Misc. Cargo,3.1.1.20,ACTIVE,6000,6000
56,C31056000,MONO POTASSIUM PHOSPHATE,DRY BULK,POTA,FERTILIZER IN DRY BULK - FINISHED,Dry Bulk,31056000,Fertilizers Finished,3.1.1.20,ACTIVE,6000,6000
57,C34039900,BIO HYDRAULIC OIL,LIQUID BULK,OLC,OTHER LIQUED CARGO,Liquid Bulk,34039900,Other Liquids,,ACTIVE,2000,2100
58,C38011000,ARTIFICIAL GRAPHITE,BREAK BULK,GENL,CHEMICALS,Packaged,38011000,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
59,C38089340,SUPER HUMATE SHINY FLAKES,BREAK BULK,GENL,GENERAL CARGO,Packaged,38089340,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
60,C38151900,STRUCTURES & EQUIPMENT,BREAK BULK,MACHWOW,MACHINERY,Packaged,38151900,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
61,C38160000,AEROCON PASTE,BREAK BULK,GENL,CONSTRUCTION MATERIALS,Packaged,38160000,Other Misc. Cargo,3.1.1.18,ACTIVE,900,900
62,C38249900,CALCIUM CORBONATE CHEM PRD,BREAK BULK,CALCORB,ORES AND MINARALS,Packaged,38249900,Other Misc. Cargo,3.1.1.37.B,ACTIVE,10000,10000
63,C39021000,POLYPROPYLENE PPH-YH40X,BREAK BULK,POLYPLYN,GENERAL CARGO,Packaged,39021000,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
64,C39041090,PVC SUSPENSION RESIN GRADE JL-1000L,BREAK BULK,PVC,GENERAL CARGO,Packaged,39041090,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
65,C39076190,POLYESTER CHIPS GRADE WK-881 & WK901,BREAK BULK,EDOTHER,GENERAL CARGO,Packaged,39076190,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
66,C39076990,POLYESTER CHIPS BOTTLE GRADE-IV,BREAK BULK,GENL,GENERAL CARGO,Packaged,39076990,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
67,C39079190,POLYESTER CHIPS,BREAK BULK,GENL,GENERAL CARGO,Packaged,39079190,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
68,C39172110,TUBES OF POLYTHYLENE,BREAK BULK,GENL,GENERAL CARGO,Packaged,39172110,Other Misc. Cargo,3.1.1.37.B,ACTIVE,900,900
69,C39251000,SINTEX TANK,BREAK BULK,SINTEX,GENERAL CARGO,Packaged,39251000,Other Misc. Cargo,3.1.1.37.B,ACTIVE,900,900
70,C39269099,POLYURETHANE BAGS,BREAK BULK,GENL,GENERAL CARGO,Packaged,39269099,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
71,C40012200,Natural Rubber,BREAK BULK,GENL,GENERAL CARGO,Packaged,40012200,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
72,C40051000,RUBBER COMPOUND,BREAK BULK,GENL,GENERAL CARGO,Packaged,40051000,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
73,C40101290,CONVEYOR BELT,BREAK BULK,MACHWOW,MACHINERY,Packaged,40101290,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
74,C40122090,Tyres - Used,BREAK BULK,TYRES,GENERAL CARGO,Packaged,40122090,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
75,C44111400,MDF BOARD - PLAIN,BREAK BULK,PLYWOOD,GENERAL CARGO,Packaged,44111400,Other Misc. Cargo,3.1.1.36,ACTIVE,900,900
76,C44151000,CABLE DRUM,BREAK BULK,GENL (WOOD),GENERAL CARGO,Packaged,44151000,Other Misc. Cargo,3.1.1.37.B,ACTIVE,900,900
77,C44152000,PALLETS,BREAK BULK,GENL (WOOD),GENERAL CARGO,Packaged,44152000,Other Misc. Cargo,,ACTIVE,900,900
78,C48191010,CARTON BOX,BREAK BULK,OTHBLK,GENERAL CARGO,Packaged,48191010,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
79,C56075000,PLEXUS 12S SK78 & COVER MAX,BREAK BULK,MACHWOW,GENERAL CARGO,Packaged,56075000,Other Misc. Cargo,,ACTIVE,1000,1000
80,C56081900,CARGO NET (TEXTILE MATERIAL),BREAK BULK,TEXTILEMAT,GENERAL CARGO,Packaged,56081900,Other Misc. Cargo,3.1.1.37.B,ACTIVE,900,900
81,C63051040,JUTE SACKING BAGS,BREAK BULK,GNYBAG,GENERAL CARGO,Packaged,63051040,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
82,C63053200,Empty Jumbo bags,BREAK BULK,EMTYJB,GENERAL CARGO,Packaged,63053200,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
83,C68022390G,GRANITE SLAB,BREAK BULK,GBLOCK,STONES IN BULK,Packaged,68022390,Other Misc. Cargo,3.1.1.21,ACTIVE,10000,10000
84,C68041000,"Shakle (Millstones and grindstones for milling, grinding or pulping)",BREAK BULK,MACH,MACHINERY,Packaged,68041000,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
85,C68061000,"RB Matress75  (Slag wool, rock wool and similar mineral wools)",BREAK BULK,OTHBLK,GENERAL CARGO,Packaged,68061000,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
86,C68101110,RCC SINKER,BREAK BULK,CEMT,GENERAL CARGO,Packaged,68101110,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
87,C68101190,CONCRETE SLAB (cement),BREAK BULK,CONSLAB,GENERAL CARGO,Packaged,68101190,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
88,C68109100,ALC PANELS,BREAK BULK,GENL,GENERAL CARGO,Packaged,68109100,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
89,C68159990,AEROCON BLOCKS,BREAK BULK,ABLOCK,STONES IN BULK,Packaged,68159990,Other Misc. Cargo,3.1.1.18,ACTIVE,0,800
90,C69010030,TILES,BREAK BULK,TILES,GENERAL CARGO,Packaged,69010030,Other Misc. Cargo,3.1.1.18,ACTIVE,900,900
91,C69021010,Magnesite bricks,BREAK BULK,MAGN,INDUSTRIAL PRODUCTS IN BREAK BULK,Packaged,69021010,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
92,C70199000,GLASS FIBRES AND ARTICLES,BREAK BULK,GENL,GENERAL CARGO,Packaged,70199000,Other Misc. Cargo,3.1.1.37.B,ACTIVE,900,900
93,C72022100,FERRO SILICON,DRY BULK,FSLCN,OTHER DRY BULK CARGO,Dry Bulk,72022100,Other Misc. Cargo,3.1.1.28,ACTIVE,12200,12200
94,C72029990,FERRO SILICON BARIUM,DRY BULK,FEROSIL,ORES AND MINARALS,Dry Bulk,72029990,Other Misc. Cargo,3.1.1.28,ACTIVE,12200,12200
95,C72043000,IRON SCRAP,DRY BULK,SCRAP,IRON AND STEEL SCRAP,Dry Bulk,72043000,Other Misc. Cargo,3.1.1.25,ACTIVE,10000,10000
96,C72051011,STEEL SHOTS,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,72051011,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
97,C72071190,PRODUCT OF IRON AND STEEL,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,72071190,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
98,C72082530,HR STEEL SHEET,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72082530,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
99,C72082540,HOT ROLLED STEEL STRIP IN COILS,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72082540,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
100,C72082590,FLAT-ROLLED STEEL,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,72082590,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
101,C72082610,HOT ROLLED PICKLED AND OILED STEEL STRIPS IN COIL,BREAK BULK,STLSHEET,IRON AND STEEL CARGO,Packaged,72082610,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
102,C72082640,HR COIL,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72082640,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
103,C72082690,FLAT-ROLLED STEEL,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,72082690,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
104,C72082710,HOT ROLLED PICKLED AND OILED STEEL IN COILS,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72082710,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
105,C72082740,HR STEEL COIL,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72082740,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
106,C72083610,HR COILS,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72083610,Other Misc. Cargo,,ACTIVE,10000,10000
107,C72083630,HR STEEL COILS,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72083630,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
108,C72083640,HOT ROLLED STEEL STRIP IN COILS,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72083640,Other Misc. Cargo,,ACTIVE,10000,10000
109,C72083690,HOT ROLLED STEEL COILS,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72083690,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
110,C72083710,PRIME HOT ROLLED STEEL IN COILS,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72083710,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
111,C72083730,HR STEEL COILS,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72083730,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
112,C72083740,HOT ROLLED STEEL STRIP IN COILS,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72083740,Other Misc. Cargo,,ACTIVE,10000,10000
113,C72083790,HR COILS,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72083790,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
114,C72083810,PRIME HOT ROLLED STEEL IN COILS,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72083810,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
115,C72083830,HOT ROLLED STEEL SHEETS,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72083830,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
116,C72083840,PRIMER HOT ROLLED STEEL COILS,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72083840,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
117,C72083890,HOT ROLLED COIL,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72083890,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
118,C72083910,Prime Hot Rolled Steel in Coils/plates,BREAK BULK,SCOIL,IRON AND STEEL CARGO,Packaged,72083910,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
119,C72083930,HOT ROLLED STEEL STRIP IN COILS ( SIZE : 1.60 X 1250XC),BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72083930,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
120,C72083940,HR STEEL COIL,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72083940,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
121,C72083990,HOT ROLLED COIL,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72083990,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
122,C72085120,UNIVERSAL PLATES,BREAK BULK,SPLAT,IRON AND STEEL CARGO,Packaged,72085120,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
123,C72085190,HR STEEL PLATE,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72085190,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
124,C72085210,HOT ROLLED STEEL PLATE,BREAK BULK,HRPLATE,IRON AND STEEL CARGO,Packaged,72085210,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
125,C72085230,HOT ROLLED STEEL SHEETS,BREAK BULK,STLSHEET,IRON AND STEEL CARGO,Packaged,72085230,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
126,C72085240,STEEL STRIP,BREAK BULK,STLSHEET,IRON AND STEEL CARGO,Packaged,72085240,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
127,C72085290,HOT ROLLED SHIPBUILDING QUALITY STEEL PLATES,GENERAL CARGO,SPLAT,GENERAL CARGO,Packaged,72085290,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
128,C72091530,COLD ROLLED STEEL STRIP IN COILS,BREAK BULK,CRCOIL,IRON AND STEEL CARGO,Packaged,72091530,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
129,C72091620,COLD ROLLED STEEL IN COILS,BREAK BULK,CRCOIL,IRON AND STEEL CARGO,Packaged,72091620,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
130,C72091630,CR COIL,BREAK BULK,CRCOIL,IRON AND STEEL CARGO,Packaged,72091630,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
131,C72091690,FLAT-ROLLED STEEL,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,72091690,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
132,C72091720,COLD ROLLED NON ALLOY STEEL IN COILS,BREAK BULK,CRCOIL,IRON AND STEEL CARGO,Packaged,72091720,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
133,C72091730,CR COIL,BREAK BULK,CRCOIL,IRON AND STEEL CARGO,Packaged,72091730,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
134,C72091790,FLAT-ROLLED STEEL,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,72091790,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
135,C72091830,COLD ROLLED STEEL COIL,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72091830,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
136,C72091890,FLAT-ROLLED STEEL,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,72091890,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
137,C72103010,STEEL SHEET IN COIL,BREAK BULK,SCOIL,IRON AND STEEL CARGO,Packaged,72103010,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
138,C72103090,ELECTRO GALVANIZED STEEL IN COIL,BREAK BULK,CRCOIL,IRON AND STEEL CARGO,Packaged,72103090,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
