Sl.No,LINE NO,OnBoard,Tindal ,Winch_driver,Signal_Man ,Mazdoor ,Maistry ,Tally_clerk ,Mazdoor ,,,,,,
1,1A,Y,1,1,1,4,0,0,0,,,,,,
2,1A,N,0,0,0,0,1,1,6,,,,,,
3,1B,Y,1,1,1,2,0,0,0,,,,,,
4,1B,N,0,0,0,0,1,1,4,,,,,,
5,2A1,Y,1,1,1,4,0,0,0,,,,,,
6,2A1,N,0,0,0,0,1,1,4,,,,,,
7,2A2,Y,1,1,1,4,0,0,0,,,,,,
8,2A2,N,0,0,0,0,1,1,8,,,,,,
9,2B1,Y,1,1,1,4,0,0,0,,,,,,
10,2B1,N,0,0,0,0,1,1,4,,,,,,
11,2B2,Y,1,1,1,4,0,0,0,,,,,,
12,2B2,N,0,0,0,0,1,1,8,,,,,,
13,2C1,Y,1,1,1,4,0,0,0,,,,,,
14,2C1,N,0,0,0,0,1,1,4,,,,,,
15,2C2,Y,1,1,1,4,0,0,0,,,,,,
16,2C2,N,0,0,0,0,1,1,8,,,,,,
17,4,Y,1,1,1,2,0,0,0,,,,,,
18,4,N,0,0,0,0,1,1,2,,,,,,
19,5A1,Y,1,1,1,2,0,0,0,,,,,,
20,5A1,N,0,0,0,0,1,1,2,,,,,,
21,5A2,Y,1,1,1,2,0,0,0,,,,,,
22,5A2,N,0,0,0,0,1,1,4,,,,,,
23,5B1,Y,1,1,1,2,0,0,0,,,,,,
24,5B1,N,0,0,0,0,1,1,2,,,,,,
25,5B2,Y,1,1,1,2,0,0,0,,,,,,
26,5B2,N,0,0,0,0,1,1,4,,,,,,
27,6(1),Y,1,1,1,2,0,0,0,,,,,,
28,6(1),N,0,0,0,0,1,1,2,,,,,,
29,6(2),Y,1,1,1,2,0,0,0,,,,,,
30,6(2),N,0,0,0,0,1,1,4,,,,,,
31,6(3),Y,1,1,1,2,0,0,0,,,,,,
32,6(3),N,0,0,0,0,1,1,0,,,,,,
33,7A,Y,0,0,1,0,0,0,0,,,,,,
34,7A,N,0,0,0,0,0,0,0,,,,,,
35,7B,Y,0,1,1,0,0,0,0,,,,,,
36,7B,N,0,0,0,0,0,0,0,,,,,,
37,7C ,Y,0,1,1,0,0,0,0,,,,,,
38,7C ,N,0,0,0,0,0,0,0,,,,,,
39,7D,Y,0,1,1,0,0,0,0,,,,,,
40,7D,N,0,0,0,0,0,0,0,,,,,,
41,7E,Y,0,0,1,0,0,0,0,,,,,,
42,7E,N,0,0,0,0,0,0,0,,,,,,
43,7F,Y,0,1,1,0,0,0,0,,,,,,
44,7F,N,0,0,0,0,0,0,0,,,,,,
45,7G,Y,0,1,1,0,0,0,0,,,,,,
46,7G,N,0,0,0,0,0,0,0,,,,,,
47,8(1),Y,0,0,1,2,0,0,0,,,,,,
48,8(1),N,0,0,0,0,0,1,2,,,,,,
49,8(2),Y,0,0,1,2,0,0,0,,,,,,
50,8(2),N,0,0,0,0,0,1,0,,,,,,
51,9,Y,0,0,0,0,0,0,0,,,,,,
52,9,N,0,0,0,0,0,1,0,,,,,,
53,11A,Y,1,0,1,4,0,0,0,,,,,,
54,11A,N,0,0,0,0,1,1,6,,,,,,
55,11B,Y,1,0,1,2,0,0,0,,,,,,
56,11B,N,0,0,0,0,1,1,4,,,,,,
57,12A1,Y,1,0,1,4,0,0,0,,,,,,
58,12A1,N,0,0,0,0,1,1,4,,,,,,
59,12A2,Y,1,0,1,4,0,0,0,,,,,,
60,12A2,N,0,0,0,0,1,1,8,,,,,,
61,12B1,Y,1,0,1,4,0,0,0,,,,,,
62,12B1,N,0,0,0,0,1,1,4,,,,,,
63,12B2,Y,1,0,1,4,0,0,0,,,,,,
64,12B2,N,0,0,0,0,1,1,8,,,,,,
65,12C1,Y,1,0,1,4,0,0,0,,,,,,
66,12C1,N,0,0,0,0,1,1,4,,,,,,
67,12C2,Y,1,0,1,4,0,0,0,,,,,,
68,12C2,N,0,0,0,0,1,1,8,,,,,,
69,14,Y,1,0,1,2,0,0,0,,,,,,
70,14,N,0,0,0,0,1,1,2,,,,,,
71,15A1,Y,1,0,1,2,0,0,0,,,,,,
72,15A1,N,0,0,0,0,1,1,2,,,,,,
73,15A2,Y,1,0,1,2,0,0,0,,,,,,
74,15A2,N,0,0,0,0,1,1,4,,,,,,
75,15B1,Y,1,0,1,2,0,0,0,,,,,,
76,15B1,N,0,0,0,0,1,1,2,,,,,,
77,15B2,Y,1,0,1,2,0,0,0,,,,,,
78,15B2,N,0,0,0,0,1,1,4,,,,,,
79,16(1),Y,1,0,1,2,0,0,0,,,,,,
80,16(1),N,0,0,0,0,1,1,2,,,,,,
81,16(2),Y,1,0,1,2,0,0,0,,,,,,
82,16(2),N,0,0,0,0,1,1,4,,,,,,
83,17A,Y,0,0,1,0,0,0,0,,,,,,
84,17A,N,0,0,0,0,0,0,0,,,,,,
85,17B,Y,0,0,1,0,0,0,0,,,,,,
86,17B,N,0,0,0,0,0,0,0,,,,,,
87,17C,Y,0,0,1,0,0,0,0,,,,,,
88,17C,N,0,0,0,0,0,0,0,,,,,,
89,17C,Y,0,0,1,0,0,0,0,,,,,,
90,17C,N,0,0,0,0,0,0,0,,,,,,
91,17E,Y,0,0,1,0,0,0,0,,,,,,
92,17E,N,0,0,0,0,0,0,0,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
